step,x,y,z
160156,-0.15,-1.08418,0.5000001
160157,-0.15,-0.8291203,0.5000001
160158,-0.15,-0.4759606,0.5000001
160159,-0.15,-0.02470092,0.5000001
160160,-0.15,0.5246586,0.5000001
160161,-0.15,0.9800001,0.5000001
160162,-0.15,-1.296076,0.5000001
160163,-0.15,-1.217596,0.5000001
160164,-0.15,-1.041016,0.5000001
160165,-0.15,-0.7663363,0.5000001
160166,-0.15,-0.3935566,0.5000001
160167,-0.15,0.07732299,0.5000001
160168,-0.15,0.6463025,0.5000001
160169,-0.15,0.9800001,0.5000001
160170,-0.15,-1.288228,0.5000001
160171,-0.15,-1.190128,0.5000001
160172,-0.15,-0.9939281,0.5000001
160173,-0.15,-0.6996284,0.5000001
160174,-0.15,-0.3072287,0.5000001
160175,-0.15,0.1832709,0.5000001
160176,-0.15,0.7718704,0.5000001
160177,-0.15,0.9800001,0.5000001
160178,-0.15,-1.276456,0.5000001
160179,-0.15,-1.158736,0.5000001
160180,-0.15,-0.9429162,0.5000001
160181,-0.2916779,-0.8596615,0.5931957
160182,-0.5309514,-0.8322589,0.7483344
160183,-0.770225,-0.7067564,0.9034731
160184,-1.009499,-0.483154,1.058612
160185,-1.248772,-0.1614517,1.21375
160186,-1.488045,0.2583505,1.368888
160187,-1.727319,0.7762526,1.524027
160188,-1.810638,0.9800001,1.578049
160189,-0.15,-1.276456,0.5000001
160190,-0.15,-1.158736,0.5000001
160191,-0.15,-0.9429162,0.5000001
160192,-0.15,-0.6289964,0.5000001
160193,-0.15,-0.2169768,0.5000001
160194,-0.15,0.2931428,0.5000001
160195,-0.15,0.9013623,0.5000001
160196,-0.15,0.9800001,0.5000001
160197,-0.15,-1.26076,0.5000001
160198,-0.15,-1.12342,0.5000001
160199,-0.15,-0.8879802,0.5000001
160200,-0.15,-0.5544405,0.5000001
160201,-0.15,-0.1228008,0.5000001
160202,-0.15,0.4069387,0.5000001
160203,-0.15,0.9800001,0.5000001
160204,-0.15,-1.3,0.5000001
160205,-0.15,-1.24114,0.5000001
160206,-0.15,-1.08418,0.5000001
160207,-0.15,-0.8291203,0.5000001
160208,-0.15,-0.4759606,0.5000001
160209,-0.15,-0.02470092,0.5000001
160210,-0.15,0.5246586,0.5000001
160211,-0.15,0.9800001,0.5000001
160212,-0.15,-1.296076,0.5000001
160213,-0.15,-1.217596,0.5000001
160214,-0.15,-1.041016,0.5000001
160215,-0.15,-0.7663363,0.5000001
160216,-0.15,-0.3935566,0.5000001
160217,-0.15,0.07732299,0.5000001
160218,-0.15,0.6463025,0.5000001
160219,-0.15,0.9800001,0.5000001
160220,-0.15,-1.288228,0.5000001
160221,-0.15,-1.190128,0.5000001
160222,-0.15,-0.9939281,0.5000001
160223,-0.15,-0.7130429,0.5000001
160224,-0.52955,-0.04973771,0.698266
160225,-0.5451793,-0.02000006,0.7064303
160226,-0.15,-1.26076,0.5000001
160227,-0.15,-1.12342,0.5000001
160228,-0.15,-0.8879802,0.5000001
160229,-0.15,-0.5544405,0.5000001
160230,-0.15,-0.1228008,0.5000001
160231,-0.15,0.4069387,0.5000001
160232,-0.15,0.9800001,0.5000001
160233,-0.15,-1.3,0.5000001
160234,-0.15,-1.24114,0.5000001
160235,-0.15,-1.08418,0.5000001
160236,-0.15,-0.8291203,0.5000001
160237,-0.15,-0.4759606,0.5000001
160238,-0.15,-0.02470092,0.5000001
160239,-0.15,0.5246586,0.5000001
160240,-0.15,0.9800001,0.5000001
160241,-0.15,-1.296076,0.5000001
160242,-0.15,-1.217596,0.5000001
160243,-0.15,-1.041016,0.5000001
160244,-0.15,-0.7663363,0.5000001
160245,-0.15,-0.3935566,0.5000001
160246,-0.15,0.07732299,0.5000001
160247,-0.15,0.6463025,0.5000001
160248,-0.15,0.9800001,0.5000001
160249,-0.15,-1.288228,0.5000001
160250,-0.15,-1.190128,0.5000001
160251,-0.15,-0.9939281,0.5000001
160252,-0.15,-0.6996284,0.5000001
160253,-0.15,-0.3072287,0.5000001
160254,-0.15,0.1832709,0.5000001
160255,-0.15,0.7718704,0.5000001
160256,-0.15,0.9800001,0.5000001
160257,-0.15,-1.276456,0.5000001
160258,-0.15,-1.158736,0.5000001
160259,-0.15,-0.9429162,0.5000001
160260,-0.15,-0.6289964,0.5000001
160261,-0.15,-0.2169768,0.5000001
160262,-0.15,0.2931428,0.5000001
160263,-0.15,0.9013623,0.5000001
160264,-0.15,0.9800001,0.5000001
160265,-0.15,-1.26076,0.5000001
160266,-0.15,-1.12342,0.5000001
160267,-0.15,-0.8879802,0.5000001
160268,-0.15,-0.5544405,0.5000001
160269,-0.15,-0.1228008,0.5000001
160270,-0.15,0.4069387,0.5000001
160271,-0.15,0.9800001,0.5000001
160272,-0.15,-1.3,0.5000001
160273,-0.15,-1.24114,0.5000001
160274,-0.15,-1.08418,0.5000001
160275,-0.15,-0.8291203,0.5000001
160276,-0.15,-0.4759606,0.5000001
160277,-0.15,-0.02470092,0.5000001
160278,-0.15,0.5246586,0.5000001
160279,-0.15,0.9800001,0.5000001
160280,-0.15,-1.296076,0.5000001
160281,-0.15,-1.217596,0.5000001
160282,-0.15,-1.041016,0.5000001
160283,-0.15,-0.7663363,0.5000001
160284,-0.15,-0.3935566,0.5000001
160285,-0.15,0.07732299,0.5000001
160286,-0.15,0.6463025,0.5000001
160287,-0.15,0.9800001,0.5000001
160288,-0.15,-1.288228,0.5000001
160289,-0.15,-1.190128,0.5000001
160290,-0.15,-0.9939281,0.5000001
160291,-0.15,-0.6996284,0.5000001
160292,-0.1949082,-0.5659167,0.536271
160293,-0.2510435,-0.3597375,0.5816095
160294,-0.3071787,-0.05545831,0.6269481
160295,-0.3126808,-0.01986516,0.631392
160296,-0.15,-1.26076,0.5000001
160297,-0.15,-1.12342,0.5000001
160298,-0.15,-0.8879802,0.5000001
160299,-0.15,-0.5544405,0.5000001
160300,-0.15,-0.531631,0.5000001
160301,-0.15,-1.26076,0.5000001
160302,-0.15,-1.12342,0.5000001
160303,-0.15,-0.8879802,0.5000001
160304,-0.15,-0.5544405,0.5000001
160305,-0.15,-0.1228008,0.5000001
160306,-0.15,0.4069387,0.5000001
160307,-0.15,0.9800001,0.5000001
160308,-0.15,-1.3,0.5000001
160309,-0.15,-1.24114,0.5000001
160310,-0.15,-1.08418,0.5000001
160311,-0.15,-0.8291203,0.5000001
160312,-0.15,-0.4759606,0.5000001
160313,-0.15,-0.02470092,0.5000001
160314,-0.15,0.5246586,0.5000001
160315,-0.15,0.9800001,0.5000001
160316,-0.15,-1.296076,0.5000001
160317,-0.15,-1.217596,0.5000001
160318,-0.15,-1.041016,0.5000001
160319,-0.15,-0.7663363,0.5000001
160320,-0.15,-0.3935566,0.5000001
160321,-0.15,0.07732299,0.5000001
160322,-0.15,0.6463025,0.5000001
160323,-0.15,0.9800001,0.5000001
160324,-0.15,-1.288228,0.5000001
160325,-0.15,-1.190128,0.5000001
160326,-0.15,-0.9939281,0.5000001
160327,-0.15,-0.6996284,0.5000001
160328,-0.15,-0.3072287,0.5000001
160329,-0.15,0.1832709,0.5000001
160330,-0.15,0.7718704,0.5000001
160331,-0.15,0.9800001,0.5000001
160332,-0.15,-1.276456,0.5000001
160333,-0.15,-1.158736,0.5000001
160334,-0.15,-0.9429162,0.5000001
160335,-0.15,-0.6289964,0.5000001
160336,-0.15,-0.2169768,0.5000001
160337,-0.15,0.2931428,0.5000001
160338,-0.15,0.9013623,0.5000001
160339,-0.15,0.9800001,0.5000001
160340,-0.15,-1.26076,0.5000001
160341,-0.15,-1.12342,0.5000001
160342,-0.15,-0.8879802,0.5000001
160343,-0.15,-0.5544405,0.5000001
160344,-0.15,-0.1228008,0.5000001
160345,-0.15,0.4069387,0.5000001
160346,-0.15,0.9800001,0.5000001
160347,-0.15,-1.3,0.5000001
160348,-0.15,-1.24114,0.5000001
160349,-0.15,-1.08418,0.5000001
160350,-0.15,-0.8291203,0.5000001
160351,-0.15,-0.4759606,0.5000001
160352,-0.15,-0.02470092,0.5000001
160353,-0.15,0.5246586,0.5000001
160354,-0.15,0.9800001,0.5000001
160355,-0.15,-1.296076,0.5000001
160356,-0.15,-1.217596,0.5000001
160357,-0.15,-1.041016,0.5000001
160358,-0.15,-0.7663363,0.5000001
160359,-0.15,-0.3935566,0.5000001
160360,-0.15,0.07732299,0.5000001
160361,-0.15,0.6463025,0.5000001
160362,-0.15,0.9800001,0.5000001
160363,-0.15,-1.288228,0.5000001
160364,-0.15,-1.190128,0.5000001
160365,-0.15,-0.9939281,0.5000001
160366,-0.15,-0.6996284,0.5000001
160367,-0.15,-0.3072287,0.5000001
160368,-0.15,0.1832709,0.5000001
160369,-0.15,0.7718704,0.5000001
160370,-0.15,0.9800001,0.5000001
160371,-0.15,-1.276456,0.5000001
160372,-0.15,-1.158736,0.5000001
160373,-0.15,-0.9429162,0.5000001
160374,-0.1190158,-1.027747,0.4729129
160375,-0.0415552,-1.596244,0.4051949
160376,0.03590537,-2.066641,0.3374768
160377,0.1133659,-2.438938,0.2697588
160378,0.1908265,-2.713135,0.2020407
160379,0.2682871,-2.889233,0.1343226
160380,0.3457476,-2.96723,0.06660456
160381,0.4232082,-2.947128,-0.001113521
160382,0.5006688,-2.828925,-0.0688316
160383,0.5781295,-2.612623,-0.1365497
160384,0.6555902,-2.298221,-0.2042678
160385,0.7330509,-1.885719,-0.2719859
160386,0.8105116,-1.375117,-0.3397039
160387,0.8879723,-0.7664148,-0.4074219
160388,0.965433,-0.05961289,-0.4751399
160389,1.042894,0.7452889,-0.542858
160390,1.063819,0.9800001,-0.5611513
160391,-0.15,-1.276456,0.5000001
160392,-0.15,-1.158736,0.5000001
160393,-0.15,-0.9429162,0.5000001
160394,-0.15,-0.6289964,0.5000001
160395,-0.15,-0.2169768,0.5000001
160396,-0.15,0.2931428,0.5000001
160397,-0.15,0.9013623,0.5000001
160398,-0.15,0.9800001,0.5000001
160399,-0.15,-1.26076,0.5000001
160400,-0.15,-1.12342,0.5000001
160401,-0.15,-0.8879802,0.5000001
160402,-0.3923415,-0.6907945,0.4973758
160403,-0.9809994,-0.4416526,0.4914669
160404,-1.569657,-0.0944107,0.485558
160405,-1.6575,-0.03380997,0.4846762
160406,-0.15,-1.26076,0.5000001
160407,-0.15,-1.12342,0.5000001
160408,-0.15,-0.8879802,0.5000001
160409,-0.15,-0.5544405,0.5000001
160410,-0.15,-0.1228008,0.5000001
160411,-0.15,0.4069387,0.5000001
160412,-0.15,0.9800001,0.5000001
160413,-0.15,-1.3,0.5000001
160414,-0.15,-1.24114,0.5000001
160415,-0.15,-1.08418,0.5000001
160416,-0.15,-0.8291203,0.5000001
160417,-0.15,-0.4759606,0.5000001
160418,-0.15,-0.02470092,0.5000001
160419,-0.15,0.5246586,0.5000001
160420,-0.15,0.9800001,0.5000001
160421,-0.15,-1.296076,0.5000001
160422,-0.15,-1.217596,0.5000001
160423,-0.15,-1.041016,0.5000001
160424,-0.15,-0.7663363,0.5000001
160425,-0.15,-0.3935566,0.5000001
160426,-0.15,0.07732299,0.5000001
160427,-0.15,0.6463025,0.5000001
160428,-0.15,0.9800001,0.5000001
160429,-0.15,-1.288228,0.5000001
160430,-0.15,-1.190128,0.5000001
160431,-0.15,-0.9939281,0.5000001
160432,-0.15,-0.6996284,0.5000001
160433,-0.15,-0.3072287,0.5000001
160434,-0.15,0.1832709,0.5000001
160435,-0.15,0.7718704,0.5000001
160436,-0.15,0.9800001,0.5000001
160437,-0.15,-1.276456,0.5000001
160438,-0.15,-1.158736,0.5000001
160439,-0.15,-0.9429162,0.5000001
160440,-0.15,-0.6289964,0.5000001
160441,-0.15,-0.2169768,0.5000001
160442,-0.15,0.2931428,0.5000001
160443,-0.15,0.9013623,0.5000001
160444,-0.15,0.9800001,0.5000001
160445,-0.15,-1.26076,0.5000001
160446,-0.15,-1.12342,0.5000001
